region,name,value,parent
,BR
Norte,RO,433,BR
Norte,AC,354,BR
Norte,AM,4801,BR
Norte,RR,452,BR
Norte,PA,2422,BR
Norte,AP,1016,BR
Norte,TO,116,BR
Nordeste,MA,2804,BR
Nordeste,PI,454,BR
Nordeste,CE,7267,BR
Nordeste,RN,1086,BR
Nordeste,PB,699,BR
Nordeste,PE,6194,BR
Nordeste,AL,957,BR
Nordeste,SE,337,BR
Nordeste,BA,2646,BR
Sudeste,MG,1758,BR
Sudeste,ES,2107,BR
Sudeste,RJ,8869,BR
Sudeste,SP,26158,BR
Sul,PR,1348,BR
Sul,SC,1995,BR
Sul,RS,1368,BR
Centro-Oeste,MS,249,BR
Centro-Oeste,MT,292,BR
Centro-Oeste,GO,705,BR
Centro-Oeste,DF,1275,BR