Semana;HTML5;CSS3;JavaScript
31/03/2019;10;1;83
07/04/2019;10;2;86
14/04/2019;11;1;80
21/04/2019;10;2;82
28/04/2019;8;2;75
05/05/2019;9;1;85
12/05/2019;9;1;93
19/05/2019;10;1;92
26/05/2019;10;1;92
02/06/2019;11;2;90
09/06/2019;10;1;90
16/06/2019;9;2;88
23/06/2019;11;2;93
30/06/2019;11;1;95
07/07/2019;9;1;86
14/07/2019;9;2;97
21/07/2019;8;1;92
28/07/2019;10;1;94
04/08/2019;10;1;94
11/08/2019;12;2;97
18/08/2019;10;2;94
25/08/2019;12;2;96
01/09/2019;10;1;98
08/09/2019;12;1;97
15/09/2019;11;1;100
22/09/2019;10;1;100
29/09/2019;11;1;97
06/10/2019;8;2;97
13/10/2019;8;1;94
20/10/2019;8;1;93
27/10/2019;9;1;88
03/11/2019;8;1;85
10/11/2019;7;1;80
17/11/2019;8;1;91
24/11/2019;8;1;89
01/12/2019;7;2;87
08/12/2019;7;2;82
15/12/2019;8;1;75
22/12/2019;7;1;60
29/12/2019;5;0;52
05/01/2020;7;2;78
12/01/2020;8;1;82
19/01/2020;6;1;86
26/01/2020;8;1;85
02/02/2020;9;1;88
09/02/2020;8;1;90
16/02/2020;9;1;87
23/02/2020;9;1;74
01/03/2020;8;1;91
08/03/2020;8;2;90
15/03/2020;9;1;79
22/03/2020;7;1;71