Semana;Acessibilidade;Deficiencia;Responsividade
31/03/2019;36;74;2
07/04/2019;41;69;2
14/04/2019;31;61;2
21/04/2019;37;70;2
28/04/2019;36;63;1
05/05/2019;40;67;2
12/05/2019;42;72;1
19/05/2019;35;77;1
26/05/2019;40;72;2
02/06/2019;39;77;1
09/06/2019;40;71;1
16/06/2019;35;57;1
23/06/2019;33;65;1
30/06/2019;30;55;1
07/07/2019;28;62;2
14/07/2019;30;46;1
21/07/2019;28;48;1
28/07/2019;29;55;1
04/08/2019;35;65;1
11/08/2019;41;76;2
18/08/2019;44;95;2
25/08/2019;44;93;1
01/09/2019;43;75;1
08/09/2019;44;83;1
15/09/2019;48;100;2
22/09/2019;45;90;1
29/09/2019;43;79;1
06/10/2019;40;68;2
13/10/2019;38;66;1
20/10/2019;46;79;1
27/10/2019;40;74;1
03/11/2019;54;79;2
10/11/2019;44;76;1
17/11/2019;44;81;2
24/11/2019;44;76;2
01/12/2019;42;95;1
08/12/2019;29;61;1
15/12/2019;26;43;1
22/12/2019;23;33;1
29/12/2019;18;33;0
05/01/2020;26;48;1
12/01/2020;26;48;0
19/01/2020;26;51;1
26/01/2020;26;54;1
02/02/2020;28;55;1
09/02/2020;32;62;2
16/02/2020;33;63;1
23/02/2020;26;61;2
01/03/2020;34;75;1
08/03/2020;31;80;1
15/03/2020;24;61;1
22/03/2020;20;64;2