Estado;População
Rondônia;1757589
Acre;869265
Amazonas;4080611
Roraima;576568
Pará;8513497
Amapá;829494
Tocantins;1555229
Maranhão;7035055
Piauí;3264531
Ceará;9075649
Rio Grande do Norte;3479010
Paraíba;3996496
Pernambuco;9496294
Alagoas;3322820
Sergipe;2278308
Bahia;14812617
Minas Gerais;21040662
Espírito Santo;3972388
Rio de Janeiro;17159960
São Paulo;45538936
Paraná;11348937
Santa Catarina;7075494
Rio Grande do Sul;11329605
Mato Grosso do Sul;2748023
Mato Grosso;3441998
Goiás;6921161
Distrito Federal;2974703 